GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Knowledge SPI,network.ike.knowledge.spi,ConceptRef,0,103,1,13,0,20,1,9,0,3
IKE Knowledge SPI,network.ike.knowledge.spi,LoadSummary,5,18,2,2,1,4,2,1,0,1
IKE Knowledge SPI,network.ike.knowledge.spi,ClassificationSummary,10,41,5,5,2,5,5,1,0,1
IKE Knowledge SPI,network.ike.knowledge.spi,ExportRequest,0,74,0,0,0,17,0,3,0,3
IKE Knowledge SPI,network.ike.knowledge.spi,ConceptRef.Text,8,39,5,7,0,9,4,4,0,2
IKE Knowledge SPI,network.ike.knowledge.spi,VerifyRequest.Check,0,33,0,0,0,6,0,1,0,1
IKE Knowledge SPI,network.ike.knowledge.spi,PropCodec,24,333,7,29,5,65,7,28,0,17
IKE Knowledge SPI,network.ike.knowledge.spi,KnowledgeServices,3,83,1,7,1,19,1,7,0,4
IKE Knowledge SPI,network.ike.knowledge.spi,KnowledgeExporter,10,0,0,0,3,0,3,0,3,0
IKE Knowledge SPI,network.ike.knowledge.spi,VerifyRequest,6,142,3,5,1,29,3,6,0,5
IKE Knowledge SPI,network.ike.knowledge.spi,VerifyReport,1,125,1,5,0,21,1,7,0,5
IKE Knowledge SPI,network.ike.knowledge.spi,BindingsResult,6,44,1,1,1,11,1,3,0,3
IKE Knowledge SPI,network.ike.knowledge.spi,Finding,5,38,3,5,1,7,3,2,0,1
IKE Knowledge SPI,network.ike.knowledge.spi,BindingsRequest,10,183,6,14,2,34,6,7,0,3
IKE Knowledge SPI,network.ike.knowledge.spi,AssembleResult,0,192,0,4,0,38,0,8,0,6
IKE Knowledge SPI,network.ike.knowledge.spi,ConceptRef.Binding,6,53,4,12,1,8,4,6,0,2
IKE Knowledge SPI,network.ike.knowledge.spi,KnowledgeVerifier,10,0,0,0,3,0,3,0,3,0
IKE Knowledge SPI,network.ike.knowledge.spi,BindingsRequest.Mode,0,15,0,0,0,3,0,1,0,1
IKE Knowledge SPI,network.ike.knowledge.spi,AssembleRequest,0,165,0,6,0,35,0,7,0,4
IKE Knowledge SPI,network.ike.knowledge.spi,ExportResult,0,61,0,0,0,14,0,3,0,3
IKE Knowledge SPI,network.ike.knowledge.spi,KnowledgeBaseAssembler,10,0,0,0,3,0,3,0,3,0
IKE Knowledge SPI,network.ike.knowledge.spi,ConceptRef.Uuids,0,30,1,3,0,6,1,3,0,2
IKE Knowledge SPI,network.ike.knowledge.spi,Finding.Severity,0,21,0,0,0,4,0,1,0,1
IKE Knowledge SPI,network.ike.knowledge.spi,IkeServiceBootstrap,0,108,1,5,0,25,1,5,0,3
IKE Knowledge SPI,network.ike.knowledge.spi,ArtifactInput,0,41,0,4,0,8,0,4,0,2
IKE Knowledge SPI,network.ike.knowledge.spi,EntityCounts,9,43,4,4,1,4,4,2,0,2
IKE Knowledge SPI,network.ike.knowledge.spi,ArtifactInput.Role,0,21,0,0,0,4,0,1,0,1
IKE Knowledge SPI,network.ike.knowledge.spi,BindingsGenerator,10,0,0,0,3,0,3,0,3,0
IKE Knowledge SPI,network.ike.knowledge.spi,ViewSpec,25,335,5,23,4,40,7,22,2,13
