GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Maven Plugin Support,network.ike.plugin.support,GoalReportSpec,12,0,0,0,1,0,1,0,1,0
IKE Maven Plugin Support,network.ike.plugin.support,ScriptedIkePrompter,71,0,14,0,17,0,12,0,5,0
IKE Maven Plugin Support,network.ike.plugin.support,AbstractGoalMojo,52,0,6,0,14,0,9,0,6,0
IKE Maven Plugin Support,network.ike.plugin.support,ConsoleIkePrompter,167,0,29,0,40,0,21,0,6,0
IKE Maven Plugin Support,network.ike.plugin.support,GoalReport,229,0,30,0,55,0,23,0,8,0
IKE Maven Plugin Support,network.ike.plugin.support,GoalRef,6,0,0,0,1,0,1,0,1,0
IKE Maven Plugin Support,network.ike.plugin.support,GoalReportBuilder,22,208,6,18,3,44,5,17,0,10
IKE Maven Plugin Support,network.ike.plugin.support.version,MavenVersionComparator,7,246,8,48,4,63,8,30,0,7
IKE Maven Plugin Support,network.ike.plugin.support.version,VersionResolverFailureException,5,0,0,0,2,0,1,0,1,0
IKE Maven Plugin Support,network.ike.plugin.support.version,CandidateVersionResolver,0,38,0,10,0,11,0,6,0,1
IKE Maven Plugin Support,network.ike.plugin.support.version,SessionCandidateVersionResolver,100,0,10,0,27,0,7,0,2,0
