GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelObservations,22,0,0,0,6,0,4,0,4,0
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelCrossReference,4,174,3,23,1,39,3,14,0,4
IKE Build-Report Extension,network.ike.tooling.buildreport,GateVerdict,0,48,0,8,0,5,0,7,0,3
IKE Build-Report Extension,network.ike.tooling.buildreport,RatchetPlanner.Plan,1,16,1,1,0,2,1,2,0,2
IKE Build-Report Extension,network.ike.tooling.buildreport,ObservationsFile,15,184,6,12,3,35,5,6,0,2
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerEvaluation,0,27,0,4,0,2,0,4,0,2
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelObservations.RepositoryDeclaration,4,22,2,2,0,4,2,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,GateKeeper,213,0,28,0,50,0,17,0,3,0
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerEvaluation.AcceptedStatus,0,9,0,0,0,1,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,Finding,4,81,3,5,1,15,3,4,0,3
IKE Build-Report Extension,network.ike.tooling.buildreport,ReportSession,492,0,50,0,133,0,40,0,15,0
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerWriter,0,211,3,17,0,38,3,10,0,3
IKE Build-Report Extension,network.ike.tooling.buildreport,BomImportModelObserver,186,0,32,0,53,0,24,0,8,0
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerEvaluation.AttentionItem,6,42,3,3,0,5,3,3,0,3
IKE Build-Report Extension,network.ike.tooling.buildreport,FindingCategory,0,21,0,0,0,4,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,Severity,0,15,0,0,0,3,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,RatchetPlanner,0,81,0,4,0,13,0,3,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,RepositoryProvenance,42,423,25,67,12,92,25,30,0,9
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelObservations.BomImport,6,32,3,3,0,3,3,2,0,2
IKE Build-Report Extension,network.ike.tooling.buildreport,ReceiptRenderer,36,603,11,45,9,130,11,27,0,10
IKE Build-Report Extension,network.ike.tooling.buildreport,BuildReportSpy,344,0,66,0,93,0,53,0,18,0
IKE Build-Report Extension,network.ike.tooling.buildreport,LedgerMode,0,15,0,0,0,3,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,AcceptedEntry,10,41,3,3,1,8,3,2,0,2
IKE Build-Report Extension,network.ike.tooling.buildreport,RatchetPlanner.Tightening,0,9,0,0,0,1,0,1,0,1
IKE Build-Report Extension,network.ike.tooling.buildreport,ModelObservations.FileModel,6,60,3,3,0,10,3,3,0,3
IKE Build-Report Extension,network.ike.tooling.buildreport,Ledger,41,474,9,45,9,100,8,31,0,12
