GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Maven Plugin Support,network.ike.plugin.support,AbstractGoalMojo,43,0,6,0,11,0,8,0,5,0
IKE Maven Plugin Support,network.ike.plugin.support,ConsoleIkePrompter,167,0,29,0,40,0,21,0,6,0
IKE Maven Plugin Support,network.ike.plugin.support,GoalRef,6,0,0,0,1,0,1,0,1,0
IKE Maven Plugin Support,network.ike.plugin.support,ScriptedIkePrompter,71,0,14,0,17,0,12,0,5,0
IKE Maven Plugin Support,network.ike.plugin.support,GoalReport,229,0,30,0,55,0,23,0,8,0
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,VersionUpgradeApplyException,5,4,0,0,2,2,1,1,1,1
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,PomScanner.Coord,0,12,0,0,0,1,0,1,0,1
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,VersionUpgradePlanApplier,64,471,14,42,13,101,17,27,4,12
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,PomScanner.LiteralCoord,0,15,0,0,0,1,0,1,0,1
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,VersionUpgradePlanBuilder,95,503,22,40,25,112,18,26,0,11
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,VersionUpgradePlanApplier.ApplyResult,0,9,0,0,0,1,0,1,0,1
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,SessionCandidateVersionResolver,100,0,10,0,27,0,7,0,2,0
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,PomScanException,9,0,0,0,4,0,2,0,2,0
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,MavenVersionComparator,7,246,8,48,4,63,8,30,0,7
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,VersionResolverFailureException,5,0,0,0,2,0,1,0,1,0
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,PomScanner,28,480,12,52,8,90,13,30,1,10
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,VersionUpgradePlanApplier.LiteralEdit,0,12,0,0,0,1,0,1,0,1
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,PomScanner.PomScanResult,6,30,3,3,0,8,3,1,0,1
IKE Maven Plugin Support,network.ike.plugin.support.upgrade,CandidateVersionResolver,0,38,0,10,0,11,0,6,0,1
