GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Maven Plugin,network.ike.plugin.scaffold,TierAction.Skip,0,33,0,2,0,6,0,2,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,ModelAdapters,0,88,0,6,0,16,0,7,0,4
IKE Maven Plugin,network.ike.plugin.scaffold,GitConfigAdapter.GitConfigDoc.Line,0,18,0,0,0,7,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,ScaffoldLockfileIo,89,477,13,45,20,109,13,28,0,12
IKE Maven Plugin,network.ike.plugin.scaffold,TierHandlers,0,87,0,6,0,16,0,7,0,4
IKE Maven Plugin,network.ike.plugin.scaffold,ScaffoldManifest.ParentRef,0,24,0,0,0,5,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,GitConfigAdapter,14,369,6,40,4,88,6,24,0,7
IKE Maven Plugin,network.ike.plugin.scaffold,ManagedElement,10,30,2,2,2,7,2,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,TierAction.UserManaged,0,38,0,0,0,7,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,FoundationBaker.Status,0,27,0,0,0,5,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,LineDiff,6,331,1,35,1,64,1,21,0,4
IKE Maven Plugin,network.ike.plugin.scaffold,FoundationBaker.Coordinate,0,12,0,0,0,1,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,FoundationBaker.Finding,0,15,0,0,0,1,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,TrackedTierHandler,2,122,2,12,1,30,2,10,0,5
IKE Maven Plugin,network.ike.plugin.scaffold,Sha256,7,125,0,10,2,25,0,11,0,6
IKE Maven Plugin,network.ike.plugin.scaffold,ScaffoldManifestIo,90,355,15,39,19,80,15,19,0,7
IKE Maven Plugin,network.ike.plugin.scaffold,MavenSettingsAdapter,48,464,11,47,13,122,11,30,0,12
IKE Maven Plugin,network.ike.plugin.scaffold,GitConfigAdapter.GitConfigDoc.Line.Type,0,21,0,0,0,1,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,ScaffoldReverter.Outcome.Kind,0,21,0,0,0,4,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,TierAction.Write,0,61,0,0,0,11,0,2,0,2
IKE Maven Plugin,network.ike.plugin.scaffold,PomModelAdapter.PluginEnsure,0,12,0,0,0,1,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,ModelPlanResult,2,18,1,1,1,5,1,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,TierAction.UpToDate,0,38,0,0,0,7,0,1,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,MapTemplateSource,0,56,0,4,0,13,0,5,0,3
IKE Maven Plugin,network.ike.plugin.scaffold,ScaffoldScope,0,69,0,6,0,14,0,7,0,4
IKE Maven Plugin,network.ike.plugin.scaffold,GitConfigAdapter.GitConfigDoc,14,358,11,47,2,66,11,25,0,7
IKE Maven Plugin,network.ike.plugin.scaffold,PlannedEntry,0,42,0,6,0,11,0,4,0,1
IKE Maven Plugin,network.ike.plugin.scaffold,TrackedBlockTierHandler.BlockSlice,0,12,0,0,0,1,0,1,0,1
