GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Workspace Model,network.ike.workspace,WorkspaceGraph,24,615,3,67,4,130,3,45,0,13
IKE Workspace Model,network.ike.workspace,DependencyConvergenceAnalysis,7,276,1,21,0,57,2,13,1,3
IKE Workspace Model,network.ike.workspace,MavenVersion,3,69,0,10,1,14,1,12,1,7
IKE Workspace Model,network.ike.workspace,PublishedArtifactSet,2,216,6,20,1,60,6,13,0,6
IKE Workspace Model,network.ike.workspace,Defaults,0,9,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.workspace,BomAnalysis.BomImport,21,0,0,0,1,0,1,0,1,0
IKE Workspace Model,network.ike.workspace,BomAnalysis.CascadeIssue,28,0,4,0,2,0,4,0,2,0
IKE Workspace Model,network.ike.workspace,Manifest,0,21,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.workspace,WorkingSet,1,25,1,3,0,3,1,4,0,3
IKE Workspace Model,network.ike.workspace,WorkingSet.Member,0,9,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.workspace,DependencyConvergenceAnalysis.Divergence,0,22,0,0,0,3,0,3,0,3
IKE Workspace Model,network.ike.workspace,SubprojectName,0,67,0,10,0,14,0,12,0,7
IKE Workspace Model,network.ike.workspace,FeatureName,0,82,0,14,0,17,0,15,0,8
IKE Workspace Model,network.ike.workspace,PublishedArtifactSet.Artifact,0,9,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.workspace,DependencyTreeParser.ResolvedDependency,0,21,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.workspace,Cohort,4,13,0,0,1,2,1,2,1,2
IKE Workspace Model,network.ike.workspace,BomAnalysis,590,0,100,0,131,0,61,0,11,0
IKE Workspace Model,network.ike.workspace,ManifestWriter,147,398,13,33,33,85,14,23,5,9
IKE Workspace Model,network.ike.workspace,WorkspaceRoot,0,12,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.workspace,ManifestWriter.SubprojectBlockBounds,0,9,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.workspace,Dependency,6,12,0,0,2,1,1,1,1,1
IKE Workspace Model,network.ike.workspace,Subproject,0,62,1,3,0,3,1,4,0,3
IKE Workspace Model,network.ike.workspace,ManifestReader,50,553,16,60,13,143,16,38,0,16
IKE Workspace Model,network.ike.workspace,ManifestException,5,4,0,0,2,2,1,1,1,1
IKE Workspace Model,network.ike.workspace,CohortResolver,3,76,1,5,0,14,1,5,0,3
IKE Workspace Model,network.ike.workspace,DependencyTreeParser,4,220,8,44,1,53,8,23,0,5
IKE Workspace Model,network.ike.workspace,IdeSettings,0,30,1,3,0,3,1,4,0,3
IKE Workspace Model,network.ike.workspace,Cohort.Member,0,9,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.workspace,WorkingSetResolver,3,108,1,9,0,23,1,9,0,5
IKE Workspace Model,network.ike.workspace,VersionSupport,3,191,4,26,1,33,5,18,1,7
IKE Workspace Model,network.ike.plugin,ReleaseNotesSupport,1356,701,166,76,314,159,116,51,23,23
IKE Workspace Model,network.ike.plugin,ReleaseNotesSupport.IssueRef,0,9,0,0,0,1,0,1,0,1
IKE Workspace Model,network.ike.plugin,PomRewriter,102,172,14,8,22,40,14,11,4,10
IKE Workspace Model,network.ike.plugin,PomRewriter.new XmlVisitor() {...},57,0,6,0,8,0,5,0,2,0
IKE Workspace Model,network.ike.plugin,PomRewriter.new XmlVisitor() {...},0,61,0,6,0,10,0,5,0,2
IKE Workspace Model,network.ike.plugin,SnapshotScanner.Violation,0,33,0,2,0,5,0,3,0,2
IKE Workspace Model,network.ike.plugin,PomRewriter.new XmlVisitor() {...},2,55,2,4,1,8,2,3,0,2
IKE Workspace Model,network.ike.plugin,PomRewriter.new XmlVisitor() {...},28,0,2,0,5,0,3,0,2,0
